ID,id2,Macroarea,counts_wals,Longitude,Latitude
NA,akar1243,Eurasia,0,92.8278,12.6663
NA,akas1242,Africa,0,1.37035,8.8858
akw,akaw1239,South America,14,-59.5,6
NA,akeb1238,Africa,0,0.77668,7.78365
NA,akee1238,Africa,0,8.75768,8.59543
NA,akei1237,Multinesia,0,166.767,-15.6377
NA,akeu1235,Eurasia,0,101.0823,22.1959
akh,akha1245,Eurasia,37,99.83333333,21.83333333
axv,akhv1239,Eurasia,2,46.33333333,42.33333333
NA,akka1237,Eurasia,0,32.4046,67.8625
NA,akka1240,Eurasia,0,44.1,33.1
NA,akkk1240,Multinesia,0,141.784,-3.57026
NA,akla1240,Multinesia,0,122.35413,11.55432
akl,akla1241,Multinesia,4,122.3333333,11.58333333
NA,akol1237,Multinesia,0,150.182,-6.22711
NA,akoo1248,Africa,0,9.65522,4.9243
NA,akoy1238,Multinesia,0,145.669,-7.66067
NA,akpa1238,Africa,0,8.01629,7.32586
NA,akpe1248,Africa,0,5.95559,7.50256
NA,akpo1243,Africa,0,8.545454,9.235232
NA,akru1241,Multinesia,0,144.821,-4.88687
NA,akuk1235,Africa,0,6.34264,7.40354
NA,akum1238,Africa,0,9.96261,6.85716
NA,akun1241,South America,0,-60.9716,-12.8322
NA,akur1238,South America,0,-55.6294,3.19607
awk,akwa1248,Africa,1,6.333333333,10.08333333
abm,alab1237,North America,25,-87.41666667,32.33333333
NA,alab1246,Multinesia,0,122.014,14.1217
NA,alab1254,Africa,0,38.1732,7.39014
NA,alac1239,South America,0,-70.140381,-54.788017
NA,alac1240,South America,0,-71.04126,-53.435719
mxl,alac1244,North America,1,-98.58333333,17.25
NA,alag1242,Africa,0,8.52085,8.34986
agw,alag1248,Africa,9,35.75,-5.5
NA,alak1253,Eurasia,0,106.597,15.5565
ala,alam1246,Multinesia,134,143.3333333,-4.666666667
NA,alan1249,Multinesia,0,121.022,13.0982
NA,alap1235,South America,0,-59.996702,-12.329886
alw,alaw1244,Australia,48,134.25,-15.16666667
NA,alba1269,Multinesia,0,123.49,13.1989
NA,alba1271,Eurasia,0,19.817778,41.328889
NA,alba1273,North America,0,-96.29642,17.06144
NA,alco1235,North America,0,-98.3969,17.3687
NA,aleg1238,Africa,0,9.00394,6.59423
gah,alek1238,Multinesia,32,145.4166667,-6
aea,aleu1260,North America,14,-164,54.75
NA,alge1235,Africa,0,3.5462,36.4762
NA,alge1239,Africa,0,3.23033,35.4208
NA,alge1240,Africa,0,4.80626,20.8884
alg,algo1255,North America,2,-77,46
NA,alii1240,Africa,0,18.0352,4.60014
NA,alip1234,Eurasia,0,77.107525,16.843564
NA,alla1247,Eurasia,0,76.6593,11.0803
ald,alla1248,Africa,13,-4.333333333,5.166666667
alc,alle1238,South America,2,-68,-31
NA,alng1239,Australia,0,141.938,-12.5324
NA,aloa1235,North America,0,-96.7438,17.4137
NA,alop1235,Eurasia,0,101.933,23.59
NA,alor1247,Multinesia,0,124.264,-8.20382
NA,alsa1242,Eurasia,0,34.916111,31.284444
als,alse1251,North America,20,-123.9166667,44.66666667
NA,aluk1238,Eurasia,0,76.7995,11.3456
NA,alum1246,Africa,0,8.55956,9.01513
aln,alun1238,Multinesia,38,128.3333333,-3
NA,aluo1235,Eurasia,0,102,26
NA,alur1250,Africa,0,31.0016,2.36213
alu,alut1245,Eurasia,3,165,61
NA,alvi1241,Eurasia,0,50.3794,35.0075
aly,alya1239,Australia,52,135,-22.5
NA,amah1245,Multinesia,0,128.939,-3.32028
amc,amah1246,South America,40,-72.5,-10.5
NA,amai1246,Multinesia,0,145.368,-5.18742
NA,amal1242,Multinesia,0,141.995,-4.04517
NA,amam1246,Multinesia,0,146.92,-7.9
NA,amam1247,Eurasia,0,129.358991,28.268372
amn,aman1265,Multinesia,29,141.25,-3.583333333
NA,aman1266,South America,0,-48.6613,-3.79772
amm,amap1240,Multinesia,3,141.6166667,-4.216666667
NA,amar1271,Australia,0,132.878,-11.9876
ama,amar1272,Multinesia,11,148.5,-5.666666667
NA,amar1273,Multinesia,0,123.96373,-10.21751
amk,amar1274,South America,11,-70.5,-12.5
nyi,amas1236,Africa,40,29.33333333,12.16666667
NA,amat1238,North America,0,-96.4003,16.2707
NA,amba1263,Africa,0,30.0014,0.81206
amq,amba1265,Multinesia,37,136.5,-1.833333333
NA,amba1266,Multinesia,0,166.498,-11.2958
NA,amba1267,Multinesia,0,120.283,14.8156
NA,amba1269,Multinesia,0,144.285,-4.23181
NA,ambe1246,Multinesia,0,137.903651,-1.763355
NA,ambe1247,Africa,0,9.62028,5.94043
NA,ambe1248,Multinesia,0,127.196,-3.85919
NA,ambl1237,Multinesia,0,166.95,-15.5169
NA,ambo1249,Africa,0,10.7798,7.07637
NA,ambo1250,Multinesia,0,128.184,-3.71342
NA,ambo1252,South America,0,-76.1135,-10.5138
NA,ambr1239,Multinesia,0,142.56,-3.61
amb,ambu1247,Multinesia,38,143,-3.833333333
NA,amda1238,Africa,0,20.8912,14.7528
amd,amdo1237,Eurasia,2,100,35
ame,amel1241,Multinesia,150,145.5833333,-5.25
asl,amer1248,North America,2,-78,39
NA,amga1235,Multinesia,0,121.042,16.9016
amh,amha1245,Africa,99,38,10
emm,amii1238,Australia,12,130,-13.5
ami,amis1246,Eurasia,17,121.3333333,23.33333333
NA,amol1235,Multinesia,0,142.532,-3.46843
NA,amol1236,North America,0,-97.4518,16.6521
amo,amoo1242,Africa,35,8.666666667,10.33333333
NA,amor1239,Eurasia,0,40.72,34.71
NA,ampa1238,Africa,0,-3.55,14.15
NA,ampa1239,Multinesia,0,116.349,-0.79259
NA,amri1238,Eurasia,0,91.482,26.024
NA,amto1250,Multinesia,0,141.339,-4.12165
NA,amun1246,South America,0,-62.3064,-9.04023
NA,anaa1238,Africa,0,7.57969,4.94832
NA,anak1240,Multinesia,0,119.605,-9.63425
NA,anal1239,Eurasia,0,94.2806,24.0506
NA,anam1247,Multinesia,0,145.051,-4.68869
amx,anam1248,Multinesia,22,145,-4.666666667
NA,anam1249,South America,0,-49.303,-2.71119
NA,anas1239,Multinesia,0,137.716,-1.73908
NA,anat1248,Africa,0,-3.1168,14.6669
NA,anau1243,South America,0,-65.413237,1.480584
NA,anci1242,Eurasia,0,21.9129,39.8155
NA,anci1244,Eurasia,0,35.1725,31.7761
NA,anci1245,Eurasia,0,39.776,29.044
NA,anda1280,Eurasia,0,92.738,11.676
NA,anda1283,Multinesia,0,143.637,-4.96449
NA,anda1284,Multinesia,0,144.767,-4.48734
NA,anda1286,South America,0,-76,2.74999
NA,anda1287,Eurasia,0,-5.2,36.54
NA,ande1247,Australia,0,137.3515,-22.51278
anx,andi1255,Eurasia,1,46.25,42.75
NA,andi1257,Multinesia,0,123.174,-0.88368
NA,ando1254,South America,0,-72.310867,-0.666992
NA,ando1255,South America,0,-76.6056,-3.29664
adk,ando1256,South America,28,-72,-0.666666667
NA,andr1246,Eurasia,0,94.033796,24.754303
NA,andr1248,Multinesia,0,147.085,-2.05894
anj,anei1239,Multinesia,45,169.8,-20.2
NA,anem1248,Multinesia,0,148.479,-9.75911
ane,anem1249,Multinesia,42,149.0833333,-5.583333333
NA,anfi1235,Africa,0,34.647,8.568
agm,anga1288,Eurasia,38,94.5,25.66666667
ant,anga1290,Multinesia,17,146.25,-7.216666667
NA,anga1292,Multinesia,0,143.478,-6.13347
NA,anga1293,Multinesia,0,143.592,-6.0127
