sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
73	soga1242	RefLex	260	soga	Bantoid	Niger-Congo	0.75	33.45
74	mach1276	RefLex	262	mashami	Bantoid	Niger-Congo	-3.15	37.10
75	mali1278	RefLex	265	malila	Bantoid	Niger-Congo	-9.25	33.35
76	mamb1296	RefLex	267	mambwe-lungu	Bantoid	Niger-Congo	-9.00	31.20
77	mand1421	RefLex	268	manda	Bantoid	Niger-Congo	-10.50	34.70
78	logo1258	RefLex	269	logooli	Bantoid	Niger-Congo	0.10	34.70
79	mate1258	RefLex	270	matengo	Bantoid	Niger-Congo	-11.00	34.90
80	matu1259	RefLex	271	matuumbi	Bantoid	Niger-Congo	-8.60	38.90
81	meru1245	RefLex	274	meru	Bantoid	Niger-Congo	0.25	37.65
82	mkuu1238	RefLex	275	rombo nord	Bantoid	Niger-Congo	-3.00	37.50
83	kway1241	RefLex	276	kwaya	Bantoid	Niger-Congo	-1.80	33.70
84	mpot1239	RefLex	277	mpoto	Bantoid	Niger-Congo	-11.00	34.60
85	kiny1244	RefLex	278	rwanda	Bantoid	Niger-Congo	-2.00	30.00
86	mwer1248	RefLex	280	mwera	Bantoid	Niger-Congo	-9.80	39.00
87	nyam1275	RefLex	281	mwanga (nyamwanga)	Bantoid	Niger-Congo	-9.00	32.35
88	ikom1246	RefLex	282	ikoma	Bantoid	Niger-Congo	-2.40	34.75
89	ndal1241	RefLex	283	ndali	Bantoid	Niger-Congo	-9.45	33.40
90	nden1248	RefLex	286	ndengereko	Bantoid	Niger-Congo	-7.50	38.90
91	ngin1244	RefLex	287	ngindo	Bantoid	Niger-Congo	-9.70	38.00
92	ngon1269	RefLex	288	ngoni	Bantoid	Niger-Congo	-12.55	39.00
93	ngur1263	RefLex	289	ngurimi	Bantoid	Niger-Congo	-2.00	34.90
94	ngul1246	RefLex	290	ngulu	Bantoid	Niger-Congo	-6.00	37.70
95	nyak1259	RefLex	292	nyakyusa-ngonde	Bantoid	Niger-Congo	-9.70	33.70
96	nyat1246	RefLex	294	nyaturu	Bantoid	Niger-Congo	-5.00	34.70
97	nyih1240	RefLex	296	nyiha	Bantoid	Niger-Congo	-10.00	33.00
98	nila1242	RefLex	297	nilamba	Bantoid	Niger-Congo	-4.50	34.4
99	pang1287	RefLex	298	pangwa	Bantoid	Niger-Congo	-9.90	34.70
100	asut1235	RefLex	299	asu	Bantoid	Niger-Congo	-4.10	37.70
101	pimb1238	RefLex	301	pimbwe	Bantoid	Niger-Congo	-6.90	31.00
102	pogo1243	RefLex	302	pogolo	Bantoid	Niger-Congo	-8.70	36.40
103	rufi1234	RefLex	304	rufiji	Bantoid	Niger-Congo	-8.00	38.70
104	chig1238	RefLex	305	chiga	Bantoid	Niger-Congo	-1.00	29.85
105	rund1242	RefLex	306	rundi	Bantoid	Niger-Congo	-3.30	29.90
106	nyam1277	RefLex	309	nyambo	Bantoid	Niger-Congo	-1.55	31.00
107	nyan1307	RefLex	310	nyankore	Bantoid	Niger-Congo	-0.50	30.55
108	nyor1246	RefLex	311	nyoro	Bantoid	Niger-Congo	1.50	31.35
109	toor1238	RefLex	312	tooro	Bantoid	Niger-Congo	0.50	30.55
110	safw1238	RefLex	313	safwa	Bantoid	Niger-Congo	-8.60	33.50
111	sham1280	RefLex	314	shambala	Bantoid	Niger-Congo	-4.70	38.30
112	luyi1234	RefLex	315	luyia	Bantoid	Niger-Congo	0.45	34.30
113	sang1330	RefLex	316	sangu	Bantoid	Niger-Congo	-8.40	33.90
114	ikiz1238	RefLex	317	ikizu	Bantoid	Niger-Congo	-2.20	34.35
115	shub1238	RefLex	318	subi	Bantoid	Niger-Congo	-2.80	31.40
116	suba1252	RefLex	322	suba	Bantoid	Niger-Congo	-1.00	34.20
117	suku1261	RefLex	323	sukuma	Bantoid	Niger-Congo	-3.00	33.00
118	sumb1240	RefLex	324	sumbwa	Bantoid	Niger-Congo	-3.60	32.20
119	thar1283	RefLex	325	tharaka	Bantoid	Niger-Congo	-0.10	38.00
120	vunj1238	RefLex	327	wunjo	Bantoid	Niger-Congo	-3.25	37.50
121	wand1264	RefLex	328	wanda	Bantoid	Niger-Congo	-8.30	32.35
122	vwan1235	RefLex	329	wanji	Bantoid	Niger-Congo	-9.00	34.20
123	yaoo1241	RefLex	331	yao	Bantoid	Niger-Congo	-14.50	35.60
124	zana1238	RefLex	332	zanaki	Bantoid	Niger-Congo	-2.00	34.10
125	zara1247	RefLex	333	zalamo	Bantoid	Niger-Congo	-6.75	39.00
126	zigu1242	RefLex	334	zigula	Bantoid	Niger-Congo	-5.60	38.40
127	zinz1238	RefLex	335	zinza	Bantoid	Niger-Congo	-2.55	32.15
